bp mp dr ps lb sft cl
4 4 4 4 2 2 0
4 4 5more 4 small 3 0
4 4 5more more big 1 0
4 3 3 4 small 3 0
4 3 3 more big 3 0
4 3 4 4 2 1 0
4 3 4 4 big 1 0
4 2 3 2 small 2 0
4 2 3 4 2 2 0
4 1 4 2 small 1 0
4 1 4 2 2 3 0
4 1 5more 4 2 1 0
3 4 2 more 2 1 0
3 4 3 2 small 2 0
3 3 3 more small 1 0
3 3 4 2 2 3 0
3 2 2 4 small 3 1
3 2 5more 2 small 1 0
3 2 5more 2 small 2 0
2 4 2 more small 2 0
2 4 3 4 small 3 1
2 3 3 4 2 2 0
2 3 4 more small 2 0
2 3 5more 2 small 2 0
2 2 3 4 small 1 0
2 2 4 more small 1 0
2 2 5more 2 2 3 0
2 2 5more more 2 3 1
1 4 2 2 big 3 0
1 4 4 4 small 1 0
1 4 5more 2 small 1 0
1 4 5more more small 1 0
1 4 5more more big 3 1
1 3 5more more big 2 1
1 2 2 more 2 2 1
1 2 3 more big 2 1
1 1 3 2 2 1 0
1 1 3 2 2 2 0
1 1 3 more big 2 1
1 1 4 2 2 2 0
1 1 5more 2 2 1 0
1 1 5more 4 small 3 1
1 1 5more more 2 3 1
