review_id,text,categories,class
DsSDS62dKyo7XUQCI6OcFg,"Came into Vegas late Sunday night, I was very tired and hungry and ready to grub. I went to the Bellagio buffet around 10pm and the line moved quickly. I've eaten here before and I remember it being so good, but not that good this time.  it took a long time to walk there from the parking lot. Also, the crab legs were so salty and the meat was covered in ice. The salmon hor d'oeurves were great but that was the only thing. The mini salads were too drenched in dressing. The Mediterranean apps seemed stale. The prime rib was soo salty! The desserts were very plain.",Buffets;Restaurants,non_useful
8VsHoYKyId2qBwPqU7Qxbg,"So far, this is the best place I've found in Phoenix (been here 5 weeks on business, eating out most nights).  This place is the closest I've come to finding a 'family run, no frills' restaurant similar to what Im used to in the Bay Area (if there's one thing I'm tired of, it's the 'over-fancy' places in Scottsdale - let's focus on food, folks, not winning an architectural design contest!).  The veal piccata was great - thin and tender, as was the veal marsala.  The 'house made sausage' was also tasty (though a bit salty). The pita bread they serve on arrival is perhaps the best I've ever had - no idea why! And the salads were great too.  The cooked veggies served with the meal were super-fresh - another surprise.   The service was friendly but not overbearing, and it was nice to see a place that is independently owned and been in business for 15 years.  If they could somehow move away from the rowdy drinking hole next door, life would be even better!  It is a tad on the pricey side, but typical for Scottsdale.",Restaurants;Italian,non_useful
Y9uwvKtfgZFk2WA78qSQvQ,"After spending time in Germany in the military I have a good desire for German food and this place is as good as it gets.  It is run by the folks who used to own the European Bistro.  More than a bakery, they serve all kinds of delicious German and European food.  Lots of different schnitzels and sausages and of course, real German beer.",Bakeries;Food;German;Restaurants,non_useful
E-3oHcwjLOMyj2Ui0zgHAg,"I love this place.  It's far from my home, but close to my brother's so whenever I visit him, I need to get some pizza and wings.  Large cheese pizza and 20 wings runs you $19.99.  Can't beat that for what you get.  The wings are exactly how I like them... crispy and Frank's hot sauce on them.  Pizza can get a bit card-boardy but I love the sauce and cheese.  It reminds me of the Pizza Den in NJ.",Pizza;Restaurants,non_useful
rqI96uynSJaZxMKnhaRg7A,"I love this place for their lunch items, which I would give 4-stars.  You pick a style of Chinese, meat, and soup.... bam your tongue is destroyed with awesomeness. But the Dim Sum is very lacking.  I tried it for the first time a few days ago and I was expecting crazy awesome food but what I got was adequate.  Most everything was either a dumpling or a dumpling cousin.  Also it didn't really help that 4 people there speak English and the 5th lady is the one who was serving us. My recommendation is to stick to the lunch option when they ask you Dim Sum or lunch?  It's better tasting food, more filling, and it only costs $5 a plate.",Seafood;Dim Sum;Chinese;Restaurants,useful
k9Coyr7Sxz4BrINd6zJYjg,"The Shave Ice here is almost as good as being on the Island. Huge portions! I had to get a kid size that was plenty for me. I went for the rainbow with ice cream and the sweet milk to top it off....Mmmm. This sooo hit the spot being in the 109 degree weather. I think next time I'm goin to try the Tiger's Blood which pretty much taste like a fruity cherry icee..Oh Yeah!!  The also have food here. I tried the breakfast with Portuguese sausage, egg & rice plate which was good. Didn't care much for the macaroni salad that came with it. They make cakes, desserts, and bento boxes as well.  Cute family owned business. This place kept my 2yr old occupied with the toys they had available, which is a plus! Totally worth a trip here to cool you down in the Vegas heat.",Food;Desserts;Hawaiian;Restaurants,non_useful
v0GE3-1YQhBubkHAtao3UA,"I am a big Paul Frank fan!! I live really close to the L.A. location and just can't get enough! I especially love shopping for guys because they have the best boxers! This location is pretty small, but still has a great selection and I LOVE their special vegas tshirts!",Children's Clothing;Fashion;Shopping,non_useful
KPMAt1OtKKC1eY2zhH_Mcw,This place has great food and the best prices that I have found in town on all-you-can-eat.  Highly recommended!  (Only thing is that if you order what they think is too much one of the servers will read you the riot act and threaten to charge you full price if you don't eat it all).  Chill out!  besides that great value.,Sushi Bars;Japanese;Restaurants,non_useful
YuatdmTpwSjym3GwUtSaPA,"I can only give this place an OK because that's just what I have had from them so far- food that was ok, not slap your grandma good! The menu is kind of hard to understand but I know that I like chicken pho so I ordered that the first go-round and just wasn't wowed like I wanted to be. The noodles were good but the broth just wasnt to my liking. The second time I had pork noodles (dry) and it was better but still not GOOD. JD had the spicy noodle soup and that was good too, but , again, you guessed it-OK. I haven't given up on it yet because it is so close to my house and the people are so nice and friendly.  Any suggestions on what to order won't be ignored.",Vietnamese;Restaurants,non_useful
KU--WdrpcCPdOo4k4qMXLQ,"So I have been in search of a place to watch Football and Basketball...As I am a Fanatic! I am honestly tired of the same old Native and chain sports bars.  So my friend and I were planning on watching the Suns game last Monday, and I went to yelp in search of a place to try. I read the reviews on Hail Mary's, and wasn't completely convinced..but I decided to try it. Now, I am sold! First off, it is extremely comfortable, you walk in and get to decided where you want to sit. The bar area is nice, kind of small, but very nice! The main room had many booths (my personal favorite) and tables. TV's were everywhere, it would be hard to find a bad view. They are great about changing your tv to what you want to watch!  As well as most of the booths have a tv at the head of the table. They have amazing happy hour specials, Monday-Friday 4-7pm, many different items are only $.99! The pork tacos are amazing, Cajun Fries (yum, spicy too) and Rippers (do you know that those are? SO Tasty!) You just can't beat $.99! I have now been 3 times, I did mention I was a sports Fanatic, right? And it hasn't been crazy busy, but there are people. Service is always good!  I highly recommend this place! Especially during happy hour!",Bars;Burgers;Nightlife;Restaurants;Sports Bars;Pizza,non_useful
XZRQgX-lIREMgL9kyCkhqw,"One of my favorite stores.  Very lovely garden and home decorations where I always find something for gifts.  Beautiful Asian influenced pieces, Italian dinnerware, and just that extra little something for that perfect spot in the garden.  Kind of one of those places I have to look through and enjoy, even if I don't buy... though I usually do walk out with a little something.",Shopping;Home Decor;Home & Garden,useful
